State,County,Affordability
VA,Roanoke city,0.873
VA,Salem city,1.106
VA,Staunton city,1.09
VA,Suffolk city,1.145
VA,Virginia Beach city,1.093
VA,Waynesboro city,0.956
VA,Williamsburg city,1.154
VA,Winchester city,1.012
WA,Adams County,0.854
WA,Asotin County,1.008
WA,Benton County,1.194
WA,Chelan County,0.949
WA,Clallam County,0.939
WA,Clark County,1.022
WA,Columbia County,1.259
WA,Cowlitz County,0.953
WA,Douglas County,0.946
WA,Ferry County,0.881
WA,Franklin County,1.04
WA,Garfield County,1.077
WA,Grant County,0.963
WA,Grays Harbor County,0.922
WA,Island County,0.958
WA,Jefferson County,0.92
WA,King County,1.173
WA,Kitsap County,1.07
WA,Kittitas County,1.051
WA,Klickitat County,0.985
WA,Lewis County,0.968
WA,Lincoln County,0.94
WA,Mason County,0.973
WA,Okanogan County,0.834
WA,Pacific County,0.916
WA,Pend Oreille County,0.915
WA,Pierce County,1.058
WA,San Juan County,0.953
WA,Skagit County,0.964
WA,Skamania County,1.009
WA,Snohomish County,1.06
WA,Spokane County,1.068
WA,Stevens County,0.957
WA,Thurston County,1.106
WA,Wahkiakum County,0.977
WA,Walla Walla County,1.061
WA,Whatcom County,0.996
WA,Whitman County,1.079
WA,Yakima County,0.892
WV,Barbour County,0.782
WV,Berkeley County,0.893
WV,Boone County,0.702
WV,Braxton County,0.732
WV,Brooke County,0.982
WV,Cabell County,0.774
WV,Calhoun County,0.668
WV,Clay County,0.675
WV,Doddridge County,0.889
WV,Fayette County,0.729
WV,Gilmer County,0.851
WV,Grant County,0.918
WV,Greenbrier County,0.738
WV,Hampshire County,0.793
WV,Hancock County,0.807
WV,Hardy County,0.799
WV,Harrison County,0.975
WV,Jackson County,0.868
WV,Jefferson County,1.169
WV,Kanawha County,0.828
WV,Lewis County,0.782
WV,Lincoln County,0.688
WV,Logan County,0.714
WV,McDowell County,0.474
WV,Marion County,0.869
WV,Marshall County,0.871
WV,Mason County,0.805
WV,Mercer County,0.773
WV,Mineral County,0.896
WV,Mingo County,0.651
WV,Monongalia County,1.001
WV,Monroe County,0.747
WV,Morgan County,0.859
WV,Nicholas County,0.712
WV,Ohio County,0.992
WV,Pendleton County,0.722
WV,Pleasants County,1.018
WV,Pocahontas County,0.793
WV,Preston County,0.905
WV,Putnam County,0.891
WV,Raleigh County,0.77
WV,Randolph County,0.84
WV,Ritchie County,0.758
WV,Roane County,0.74
WV,Summers County,0.716
WV,Taylor County,0.894
WV,Tucker County,0.841
WV,Tyler County,0.825
WV,Upshur County,0.81
WV,Wayne County,0.718
WV,Webster County,0.687
WV,Wetzel County,0.772
WV,Wirt County,0.834
WV,Wood County,0.833
WV,Wyoming County,0.73
WI,Adams County,0.929
WI,Ashland County,0.878
WI,Barron County,0.967
WI,Bayfield County,0.962
WI,Brown County,1.083
WI,Buffalo County,0.989
WI,Burnett County,0.881
WI,Calumet County,1.214
WI,Chippewa County,0.946
WI,Clark County,0.954
WI,Columbia County,1.158
WI,Crawford County,0.997
WI,Dane County,1.174
WI,Dodge County,1.127
WI,Door County,1.08
WI,Douglas County,0.974
WI,Dunn County,1.047
WI,Eau Claire County,1.048
WI,Florence County,0.921
WI,Fond du Lac County,1.122
WI,Forest County,0.806
WI,Grant County,1.133
WI,Green County,1.138
WI,Green Lake County,1.086
WI,Iowa County,1.161
WI,Iron County,0.835
WI,Jackson County,0.995
WI,Jefferson County,1.111
WI,Juneau County,0.976
WI,Kenosha County,1.02
WI,Kewaunee County,1.141
WI,La Crosse County,1.038
WI,Lafayette County,1.097
WI,Langlade County,0.988
WI,Lincoln County,1.109
WI,Manitowoc County,1.14
WI,Marathon County,1.06
WI,Marinette County,0.935
WI,Marquette County,1.014
WI,Menominee County,0.667
WI,Milwaukee County,0.844
WI,Monroe County,1.013
WI,Oconto County,1.156
WI,Oneida County,1.046
WI,Outagamie County,1.087
WI,Ozaukee County,1.291
WI,Pepin County,0.993
WI,Pierce County,1.125
WI,Polk County,1.029
WI,Portage County,1.138
WI,Price County,0.913
WI,Racine County,1.047
WI,Richland County,0.966
WI,Rock County,0.979
WI,Rusk County,0.822
WI,St. Croix County,1.196
WI,Sauk County,1.099
WI,Sawyer County,0.872
WI,Shawano County,1.04
WI,Sheboygan County,1.066
WI,Taylor County,0.949
WI,Trempealeau County,1.026
WI,Vernon County,1.015
WI,Vilas County,0.885
WI,Walworth County,1.15
WI,Washburn County,0.962
WI,Washington County,1.235
WI,Waukesha County,1.281
WI,Waupaca County,1.022
WI,Waushara County,0.99
WI,Winnebago County,1.037
WI,Wood County,1.042
WY,Albany County,1.131
WY,Big Horn County,0.923
WY,Campbell County,1.199
WY,Carbon County,0.993
WY,Converse County,1.185
WY,Crook County,1.101
WY,Fremont County,0.982
WY,Goshen County,0.946
WY,Hot Springs County,1.097
WY,Johnson County,1.027
WY,Laramie County,1.111
WY,Lincoln County,1.054
WY,Natrona County,1.115
WY,Niobrara County,0.664
WY,Park County,1.027
WY,Platte County,0.991
WY,Sheridan County,1.132
WY,Sublette County,1.059
WY,Sweetwater County,1.226
WY,Teton County,1.099
WY,Uinta County,1.152
WY,Washakie County,0.993
WY,Weston County,1.05
